rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,rcpt_28
9.0,0.33,,,356.0,786.0,1062.0,7.875,,1260.0
10.0,0.35,15.21,96.5,540.0,477.0,1113.0,8.943,0.11,
10.0,0.36,,,260.0,249.0,759.0,,,
10.0,0.35,,,260.0,234.0,708.0,,,
10.0,0.4,,,450.0,780.0,820.0,,,
10.0,0.4,,,405.0,796.5,846.0,,,
10.0,0.4,,,360.0,828.0,868.0,,,
10.0,0.4,,,315.0,847.0,900.0,,,
10.0,0.31,,,514.0,591.0,1050.0,,,
10.0,0.3,,,514.0,592.0,1052.0,,,
10.0,0.5,,,270.0,600.0,1200.0,,,
10.0,0.56,0.0,,375.0,625.0,1202.0,,,
10.0,0.62,5.0,,337.5,625.0,1202.0,,,
10.0,0.62,5.0,,337.5,625.0,1202.0,,,
10.0,0.62,5.0,,337.5,625.0,1202.0,,,
10.0,0.62,5.0,,337.5,625.0,1202.0,,,
10.0,0.62,25.0,,337.5,625.0,1202.0,,,
10.0,0.62,25.0,,337.5,625.0,1202.0,,,
10.0,0.62,25.0,,337.5,625.0,1202.0,,,
10.0,0.62,25.0,,337.5,625.0,1202.0,,,
10.0,0.4,,,351.0,713.0,1079.0,,,
10.0,0.23,12.0,,783.0,344.0,933.0,9.1,,
10.0,0.35,12.0,,514.0,608.0,933.0,9.1,,
10.0,0.47,12.0,,383.0,737.0,933.0,9.1,,
10.0,0.45,,,369.0,620.0,1200.0,8.714,0.112,
10.0,0.45,,92.0,378.0,815.0,995.0,8.961,0.091,1867.0
10.0,0.4,7.0,99.0,350.0,676.0,1101.0,8.72,0.055,
10.0,0.31,7.0,99.0,398.0,666.0,1087.0,8.72,0.055,
10.0,0.4,7.0,99.0,350.0,676.0,1101.0,8.72,0.055,
10.0,0.5,7.0,99.0,304.0,675.0,1102.0,8.72,0.055,
10.0,0.4,7.0,99.0,345.0,667.0,1086.0,8.72,0.055,
10.0,0.4,7.0,99.0,350.0,677.0,1102.0,8.72,0.055,
10.0,0.53,,,360.0,600.0,1200.0,9.295,0.053,653.0
10.0,0.38,,,450.0,745.0,945.0,8.987,0.049,
10.0,0.36,,,342.0,868.0,995.0,8.987,0.049,
10.0,0.36,,,380.0,852.0,960.0,8.987,0.049,
10.0,0.6,9.0,97.0,315.0,870.0,881.0,9.325,,
10.0,0.5,,,323.0,726.0,1055.0,9.0,0.045,
10.0,0.65,,,255.0,791.0,1043.0,9.0,0.045,
10.0,0.43,7.0,96.0,378.0,542.0,1108.0,8.72,0.055,523.0
10.0,0.35,7.0,96.0,420.0,535.61,1113.0,8.72,0.055,569.0
10.0,0.43,7.0,96.0,378.0,542.0,1108.0,8.72,0.055,556.0
10.0,0.35,7.0,96.0,420.0,535.61,1113.0,8.72,0.055,679.0
10.0,0.4,,85.0,415.12,582.0,1204.0,8.2,0.26,
10.0,0.5,,85.0,332.1,608.13,1253.45,8.2,0.26,
10.0,0.6,,85.0,276.7,623.79,1287.9,8.2,0.26,
10.0,0.5,,,351.0,569.0,1164.0,9.04,,1285.0
10.0,0.4,95.0,42.0,405.0,492.0,1148.0,8.786,0.13,
10.0,0.4,5.0,97.0,405.0,492.0,1148.0,8.786,0.13,
10.0,0.3,,100.0,495.0,490.0,1200.0,8.947,0.269,
10.0,0.33,,100.0,450.0,510.0,1240.0,8.947,0.269,
10.0,0.36,,100.0,405.0,530.0,1280.0,8.947,0.269,
10.0,0.44,,100.0,315.0,560.0,1345.0,8.947,0.269,
10.0,0.43,28.0,72.0,35.0,895.0,571.0,,,435.0
10.0,0.53,3.8,99.0,38.0,575.0,1150.0,8.732,0.048,1507.0
10.0,0.5,,,270.0,450.0,900.0,,,
10.0,0.34,25.83,,60.5,690.0,915.0,9.67,0.049,1052.0
10.0,0.3,25.83,,68.0,655.0,865.0,9.67,0.049,961.0
10.0,0.35,,,540.0,477.0,1113.0,7.524,0.242,
10.0,0.55,,,313.52,572.74,1189.5,7.984,0.055,
10.0,0.53,3.8,,345.0,575.0,1150.0,8.732,0.048,1900.0
10.0,0.65,,,308.57,685.71,1371.42,9.541,,
10.0,0.45,42.0,48.0,240.3,486.0,1537.0,9.541,0.0,
10.0,0.5,42.0,48.0,240.3,486.0,1537.0,9.541,0.0,
10.0,0.55,42.0,48.0,240.3,486.0,1537.0,9.541,0.0,
10.0,0.5,,,360.0,800.0,1600.0,,,
10.0,0.4,,100.0,351.0,713.0,1079.0,,,
10.0,0.3,42.0,48.0,477.0,458.0,1302.0,9.541,,
10.0,0.35,42.0,48.0,477.0,458.0,1302.0,9.541,,
10.0,0.4,42.0,48.0,382.5,446.0,1419.0,9.541,,
10.0,0.45,42.0,48.0,382.5,446.0,1419.0,9.541,,
10.0,0.5,42.0,48.0,382.5,446.0,1419.0,9.541,,
10.0,0.55,42.0,48.0,382.5,446.0,1419.0,9.541,,
10.0,0.5,23.397,96.14,414.0,785.0,800.0,9.21,0.0719,
10.0,0.5,20.948,95.96,414.0,785.0,800.0,8.931,0.0987,
10.0,0.5,15.804,95.77,414.0,785.0,800.0,8.43,0.0729,
