rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,compressive_strength
0.0,0.28,34.62,,600.0,875.0,774.3,0.0,0.0,60.0
0.0,0.5,6.57,,380.0,755.0,685.0,0.0,0.0,26.992
0.0,0.342,,,500.0,925.0,830.0,0.0,0.0,60.45
0.0,0.43,,100.0,480.0,900.0,670.0,0.0,0.0,33.12
0.0,0.5,,,350.0,960.3,795.7,0.0,0.0,33.872
0.0,0.413,,,450.0,635.0,1151.0,0.0,0.0,28.0
0.0,0.3,5.69,100.0,560.0,725.0,1000.0,0.0,0.0,69.448
0.0,0.52,17.0,,400.0,720.0,1476.0,0.0,0.0,
0.0,0.49,9.52,100.0,420.0,950.0,805.0,0.0,,
0.0,0.3,,,750.0,590.0,1000.0,0.0,0.0,55.608
0.0,0.45,,,475.0,607.25,1127.75,,,31.624
0.0,0.56,,,440.0,580.0,1115.0,0.0,0.0,32.42
0.0,0.33,,,392.0,786.0,1062.0,0.0,,65.0
0.0,0.31,,,410.0,786.0,1044.0,0.0,,66.0
0.0,0.3,,,428.0,786.0,1026.0,0.0,,70.0
0.0,0.54,5.21,100.0,350.0,680.0,1040.0,0.0,,37.048
0.0,0.46,20.0,97.0,650.0,780.0,975.0,0.0,0.0,37.11
0.0,0.45,,100.0,476.0,595.0,1299.48,0.0,0.0,29.6
0.0,0.39,,100.0,372.5,492.58,1454.1,0.0,0.0,33.76
0.0,0.38,,,416.0,1070.0,775.0,0.0,0.0,61.7
0.0,0.44,,,385.0,1070.0,775.0,0.0,0.0,57.1
0.0,0.5,,,360.0,1070.0,775.0,0.0,0.0,63.8
0.0,0.56,,,335.0,1070.0,775.0,0.0,0.0,45.1
0.0,0.62,,,314.0,1070.0,775.0,0.0,0.0,36.3
0.0,0.68,,,295.0,1070.0,775.0,0.0,0.0,28.7
0.0,0.5,,,360.0,1070.0,775.0,0.0,0.0,53.4
0.0,0.42,12.34,96.6,490.0,651.7,1112.3,0.0,0.0,48.1
0.0,0.4,25.0,,382.5,482.46,1394.06,,,33.36
0.0,0.3,,100.0,550.0,490.0,1200.0,,,76.0
0.0,0.33,,100.0,500.0,510.0,1240.0,,,68.2
0.0,0.36,,100.0,450.0,530.0,1280.0,,,67.3
0.0,0.44,,100.0,350.0,560.0,1345.0,,,43.4
1.5,0.5,,,295.5,450.0,900.0,,,20.16
2.5,0.4,,,487.5,780.0,820.0,,,50.4
2.5,0.4,,,438.75,796.5,846.0,,,42.4
2.5,0.4,,,390.0,828.0,868.0,,,43.2
2.5,0.4,,,341.25,847.0,900.0,,,45.6
2.5,0.5,,,292.5,450.0,900.0,,,14.96
2.5,0.45,,,384.15,734.46,1146.35,2.1875,,20.976
2.5,0.4,,,565.5,559.0,830.0,,,38.78
2.5,0.45,,,384.15,734.46,1146.35,,,20.98
5.0,0.35,15.21,96.5,570.0,477.0,1113.0,4.4715,0.055,54.18
5.0,0.36,,,275.0,249.0,759.0,,,48.26
