rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,split_tensile_strength
0,0.5,15.804,95.77,460,785,800,0,0,3.33
5,0.5,15.804,95.77,437,785,800,4.215,0.03645,4.18
10,0.5,15.804,95.77,414,785,800,8.43,0.0729,4.39
15,0.5,15.804,95.77,391,785,800,12.645,0.10935,4.82
20,0.5,15.804,95.77,368,785,800,16.86,0.1458,4.59
30,0.5,15.804,95.77,322,785,800,25.29,0.2187,4.2
40,0.5,15.804,95.77,276,785,800,33.72,0.2916,3.94
50,0.5,15.804,95.77,230,785,800,42.15,0.3645,3.81
60,0.5,15.804,95.77,184,785,800,50.58,0.4374,3.65
70,0.5,15.804,95.77,138,785,800,59.01,0.5103,3.18
80,0.5,15.804,95.77,92,785,800,67.44,0.5832,2.64
0,0.52,17,,400,720,1476,0,0,
10,0.52,17,,360,720,1476,8.549,0.368,
0,0.46,20,95,650,780,975,0,0,
0,0.46,20,97,650,780,975,0,0,
10,0.46,20,97,585,780,975,7.6,0.55,
15,0.46,20,97,552.5,780,975,11.4,0.825,
20,0.46,20,95,520,780,975,15.2,1.1,
20,0.46,20,97,520,780,975,15.2,1.1,
30,0.46,20,95,455,780,975,22.8,1.65,
30,0.46,20,97,455,780,975,22.8,1.65,
40,0.46,20,95,390,780,975,30.4,2.2,
40,0.46,20,97,390,780,975,30.4,2.2,
0,0.5,20.948,95.96,460,785,800,0,0,3.33
5,0.5,20.948,95.96,437,785,800,4.4655,0.04935,3.36
10,0.5,20.948,95.96,414,785,800,8.931,0.0987,3.55
15,0.5,20.948,95.96,391,785,800,13.3965,0.14805,3.85
20,0.5,20.948,95.96,368,785,800,17.862,0.1974,3.69
30,0.5,20.948,95.96,322,785,800,26.793,0.2961,3.46
40,0.5,20.948,95.96,276,785,800,35.724,0.3948,3.31
50,0.5,20.948,95.96,230,785,800,44.655,0.4935,3.23
60,0.5,20.948,95.96,184,785,800,53.586,0.5922,3.09
0,0.35,23,100,650,961,828,,,5.5
0,0.45,23,100,650,961,828,,,4.9
10,0.35,23,100,585,961,828,,,6
10,0.45,23,100,585,961,828,,,5.4
20,0.35,23,100,520,961,828,,,4.9
20,0.45,23,100,520,961,828,,,4.5
0,0.5,23.397,96.14,460,785,800,0,0,3.33
5,0.5,23.397,96.14,437,785,800,4.605,0.03595,3.9
10,0.5,23.397,96.14,414,785,800,9.21,0.0719,4.05
15,0.5,23.397,96.14,391,785,800,13.815,0.10785,1.2
20,0.5,23.397,96.14,368,785,800,18.42,0.1438,4.41
30,0.5,23.397,96.14,322,785,800,27.63,0.2157,4.01
40,0.5,23.397,96.14,276,785,800,36.84,0.2876,3.65
50,0.5,23.397,96.14,230,785,800,46.05,0.3595,3.39
60,0.5,23.397,96.14,184,785,800,55.26,0.4314,3.18
0,0.5,25,,390,550,1391.6,0,0,
0,0.39,25,,372.5,492.58,1454.1,0,0,3.2
0,0.45,25,,400,800,1600,,,3.64
0,0.5,25,,400,800,1600,,,3.16
0,0.6,25,,400,800,1600,,,2.8
0,0.4,25,,382.5,482.46,1394.06,,,3.1
5,0.5,25,,370.5,550,1370.6,4.409,0.03,
5,0.39,25,,353.875,492.58,1454.1,4.347,0.06,2.85
5,0.4,25,,363.37,482.46,1394.06,,,2.9
7.5,0.39,25,,344.563,492.58,1454.1,6.5205,0.09,3.45
7.5,0.4,25,,353.81,482.46,1394.06,0,,3.2
10,0.62,25,,337.5,625,1202,,,
10,0.62,25,,337.5,625,1202,,,
10,0.62,25,,337.5,625,1202,,,
10,0.62,25,,337.5,625,1202,,,
10,0.5,25,,351,550,1370.6,8.818,0.06,
10,0.39,25,,335.25,492.58,1454.1,8.694,0.12,2.7
10,0.45,25,,360,800,1600,,,3.96
10,0.5,25,,360,800,1600,,,3.42
10,0.6,25,,360,800,1600,,,3.024
10,0.4,25,,344.25,482.46,1394.06,,,2.8
12.5,0.39,25,,3325.938,492.58,1454.1,10.8675,0.15,2.5
12.5,0.4,25,,334.68,482.46,1394.06,,,2.7
15,0.5,25,,331.5,550,1294.6,13.227,0.09,
15,0.39,25,,316.625,492.58,1454.1,13.041,0.18,2.7
15,0.4,25,,325.13,482.46,1394.06,,,2.6
20,0.5,25,,312,550,1294.6,17.636,0.12,
10,0.34,25.83,,60.5,690,915,9.67,0.049,
10,0.3,25.83,,68,655,865,9.67,0.049,
20,0.34,25.83,,121,690,915,19.34,0.098,
20,0.3,25.83,,136,655,865,19.34,0.098,
30,0.34,25.83,,181.5,690,915,29.01,0.147,
30,0.3,25.83,,204,655,865,29.01,0.147,
40,0.34,25.83,,242,690,915,38.68,0.196,
40,0.3,25.83,,272,655,865,38.68,0.196,
50,0.34,25.83,,302.5,690,915,48.35,0.245,
50,0.3,25.83,,340,655,865,48.35,0.245,
10,0.43,28,72,35,895,571,,,
15,0.43,28,72,53,897,572,,,
20,0.43,28,72,72,899,574,,,
0,0.55,28.54,65,364,639,1148,0,0,
10,0.55,28.54,65,327.6,639,1148,8.329,0.068,
15,0.55,28.54,65,309.4,639,1148,12.4935,0.102,
20,0.55,28.54,65,291.2,639,1148,16.658,0.136,
0,0.236,34.62,,500,990,875,0,0,
0,0.28,34.62,,600,875,774.3,0,0,
29,0.22,34.62,,600,700,675,26.5205,0.2871,
40,0.19,34.62,,500,792,810,36.58,0.396,
0,0.45,42,48,267,486,1537,0,0,2.636
0,0.5,42,48,267,486,1537,0,0,3.247
0,0.55,42,48,267,486,1537,0,0,2.709
0,0.3,42,48,530,458,1302,0,,
0,0.35,42,48,530,458,1302,0,,
0,0.35,42,48,425,446,1419,0,,3.709
0,0.4,42,48,425,446,1419,0,,3.553
0,0.45,42,48,425,446,1419,0,,3.517
0,0.5,42,48,425,446,1419,0,,2.618
0,0.55,42,48,425,446,1419,0,,3.297
5,0.45,42,48,253.65,486,1537,4.7705,0,3.451
5,0.5,42,48,253.65,486,1537,4.7705,0,3.322
5,0.55,42,48,253.65,486,1537,4.7705,0,2.486
5,0.3,42,48,503.5,458,1302,4.7705,,
5,0.35,42,48,503.5,458,1302,4.7705,,
5,0.35,42,48,403.75,446,1419,4.7705,,3.812
5,0.4,42,48,403.75,446,1419,4.7705,,4.097
5,0.45,42,48,403.75,446,1419,4.7705,,3.591
5,0.5,42,48,403.75,446,1419,4.7705,,3.476
5,0.55,42,48,403.75,446,1419,4.7705,,3.812
10,0.45,42,48,240.3,486,1537,9.541,0,3.325
10,0.5,42,48,240.3,486,1537,9.541,0,3.376
10,0.55,42,48,240.3,486,1537,9.541,0,2.683
10,0.3,42,48,477,458,1302,9.541,,
10,0.35,42,48,477,458,1302,9.541,,
10,0.4,42,48,382.5,446,1419,9.541,,3.669
10,0.45,42,48,382.5,446,1419,9.541,,3.23
10,0.5,42,48,382.5,446,1419,9.541,,3.389
10,0.55,42,48,382.5,446,1419,9.541,,3.834
15,0.5,42,48,226.8,486,1537,14.3115,0,3.218
15,0.55,42,48,226.8,486,1537,14.3115,0,3.221
15,0.3,42,48,450.5,458,1302,14.3115,,
15,0.35,42,48,450.5,458,1302,14.3115,,
15,0.45,42,48,361.25,446,1419,14.3115,,3.228
15,0.5,42,48,361.25,446,1419,14.3115,,3.694
15,0.55,42,48,361.25,446,1419,14.3115,,3.483
20,0.5,42,48,213.6,486,1537,19.082,0,3.255
20,0.55,42,48,213.6,486,1537,19.082,0,3.2463
20,0.3,42,48,424,458,1302,19.082,,
20,0.35,42,48,424,458,1302,19.082,,
20,0.5,42,48,340,446,1419,19.082,,3.294
20,0.55,42,48,340,446,1419,19.082,,3.182
25,0.55,42,48,200.25,486,1537,23.8525,,3.146
25,0.55,42,48,318.75,446,1419,23.8525,,3.176
0,0.89,60,,220,980,1060,0,0,
0,0.65,60,,270,873,1112,0,0,
0,0.6,60,,298,842,1115,0,0,
0,0.58,60,,321,812,1122,0,0,
30,0.91,60,,126,978,1059,21.21,0.84,
30,0.68,60,,156,873,1112,21.21,0.84,
30,0.63,60,,172,842,1115,21.21,0.84,
30,0.6,60,,185,812,1122,21.21,0.84,
40,0.94,60,,108,978,1059,28.28,1.12,
40,0.71,60,,134,873,1112,28.28,1.12,
40,0.68,60,,148,842,1115,28.28,1.12,
40,0.62,60,,159,812,1122,28.28,1.12,
50,0.96,60,,90,978,1059,35.35,1.4,
50,0.74,60,,111,873,1112,35.35,1.4,
50,0.71,60,,123,842,1115,35.35,1.4,
50,0.64,60,,132,812,1122,35.35,1.4,
0,0.45,63.8,,372.5333333,506.6666667,1136.266667,,,
0,0.5,63.8,,334.9333333,532.5333333,75.46666667,,,
0,0.6,63.8,,278.9333333,580.2666667,1138.133333,,,
15,0.45,63.8,,316.5333333,506.6666667,1136.266667,,,
15,0.5,63.8,,284.5333333,532.5333333,1142.133333,,,
15,0.6,63.8,,237.0666667,580.2666667,1138.133333,,,
0,0.8,75,50,300,710,1160,0,0,
0,0.69,75,50,335,660,1178,0,0,
0,0.59,75,50,360,640,1185,0,0,
0,0.54,75,50,420,580,1170,0,0,
30,0.83,75,50,132,710,1160,24.639,0.048,
